model,k,trial_id,speaker,fold,condition,identity,target_rank,minimum_confidence,mean_confidence,log_confidence_variance,source_path,confidence_source
audioseal,8,3,chinese:SSB0009,2,targeted,62475,9,0.5246978402,0.7092835009,-5.0430725539,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_01.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,average,40160,,0.5654798746,0.7151587047,-4.9306116899,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,single,2410,,0.6991143525,0.7686724830,-6.8112040857,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,targeted,55602,1,0.6310652494,0.7628151048,-6.3991277195,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,targeted,55666,2,0.6507011056,0.7574022412,-5.9949803309,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,targeted,51562,3,0.5342496634,0.7443199474,-5.3625366285,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,targeted,35178,6,0.5129489899,0.7326365784,-5.4364905087,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,4,chinese:SSB0009,2,targeted,55650,10,0.6492675543,0.7590992730,-6.1515653529,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_02.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,average,17506,,0.5740410089,0.7473589703,-5.2735822932,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,single,31202,,0.7064718008,0.7687415760,-6.9241730323,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,29652,1,0.6175751090,0.7402909920,-6.0099274509,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,29634,2,0.6240832806,0.7280651275,-6.0247419687,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,38868,4,0.6696832180,0.7424698863,-6.4133856054,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,29399,5,0.6210852861,0.7437211201,-5.7656190950,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,18260,7,0.6851643324,0.7439433243,-6.7210806718,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,55252,9,0.6216046214,0.7322880197,-6.0934275754,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,5,chinese:SSB0009,2,targeted,29653,10,0.6220617890,0.7492913119,-5.7596155161,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0009/chinese_SSB0009_03.wav,native decoder bit marginal
audioseal,8,6,chinese:SSB0011,4,average,47925,,0.5031816959,0.6774647664,-4.5308171737,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,native decoder bit marginal
audioseal,8,6,chinese:SSB0011,4,single,36928,,0.7175003886,0.7707109433,-7.4218472924,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,native decoder bit marginal
audioseal,8,6,chinese:SSB0011,4,targeted,63784,2,0.7008113265,0.7675438300,-6.8445355253,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,native decoder bit marginal
audioseal,8,6,chinese:SSB0011,4,targeted,53288,4,0.6602513194,0.7573549543,-6.0811459250,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,native decoder bit marginal
audioseal,8,6,chinese:SSB0011,4,targeted,63752,10,0.7226381302,0.7690507602,-7.5338829814,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_01.wav,native decoder bit marginal
audioseal,8,7,chinese:SSB0011,4,average,47519,,0.5113390684,0.7113929559,-4.9384755772,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,native decoder bit marginal
audioseal,8,7,chinese:SSB0011,4,single,43066,,0.7198795080,0.7649503555,-7.2799649151,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,native decoder bit marginal
audioseal,8,7,chinese:SSB0011,4,targeted,50244,3,0.6410629153,0.7419304382,-6.0285314482,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,native decoder bit marginal
audioseal,8,7,chinese:SSB0011,4,targeted,54340,5,0.5213889480,0.7399488427,-5.1337469851,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,native decoder bit marginal
audioseal,8,7,chinese:SSB0011,4,targeted,50372,9,0.5227591097,0.7272354551,-4.9541720885,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_02.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,average,7264,,0.5401113033,0.7321371362,-5.0868997902,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,single,34568,,0.7280780077,0.7750295009,-7.1975394742,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,targeted,48816,2,0.5069031715,0.7243244220,-5.3347008389,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,targeted,24500,4,0.6428419352,0.7471239194,-6.1680066677,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,targeted,44560,7,0.6788471341,0.7376650423,-6.8454378119,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,targeted,44688,8,0.5134164393,0.7188128084,-5.4008949854,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,8,chinese:SSB0011,4,targeted,22452,9,0.5165707469,0.7216872852,-4.8977109473,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0011/chinese_SSB0011_03.wav,native decoder bit marginal
audioseal,8,9,chinese:SSB0012,5,average,15397,,0.5052321255,0.7023729254,-5.0082312951,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,native decoder bit marginal
audioseal,8,9,chinese:SSB0012,5,single,10488,,0.7132679820,0.7597297989,-7.4146866378,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,native decoder bit marginal
audioseal,8,9,chinese:SSB0012,5,targeted,8209,3,0.5132347941,0.7088229768,-4.8397791215,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,native decoder bit marginal
audioseal,8,9,chinese:SSB0012,5,targeted,40977,9,0.5925131142,0.7352500074,-6.0945554515,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_01.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,average,3170,,0.5786437988,0.7016660422,-5.3221489632,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,single,8513,,0.7159760296,0.7588482816,-7.4475324253,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,62408,1,0.5231866837,0.7254536040,-5.3968428687,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,44480,3,0.6013063788,0.7115818765,-5.8749512491,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,52164,4,0.5836268067,0.7265309021,-5.9341568975,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,43460,5,0.5567255914,0.7089317385,-5.6162804526,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,62416,7,0.6248390675,0.7375333756,-5.9239793042,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,43456,8,0.5677363873,0.6941124145,-5.4749743966,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,10,chinese:SSB0012,5,targeted,48576,10,0.5374010801,0.7199552115,-5.7879239179,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_02.wav,native decoder bit marginal
audioseal,8,11,chinese:SSB0012,5,average,21858,,0.5728361309,0.7266681250,-5.3183713528,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,native decoder bit marginal
audioseal,8,11,chinese:SSB0012,5,single,62743,,0.7389886379,0.7761475015,-7.3759513957,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,native decoder bit marginal
audioseal,8,11,chinese:SSB0012,5,targeted,37939,5,0.5468533635,0.7313363459,-5.5220124324,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0012/chinese_SSB0012_03.wav,native decoder bit marginal
audioseal,8,12,chinese:SSB0016,3,average,4256,,0.5306659639,0.6838059835,-4.9148741794,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,native decoder bit marginal
audioseal,8,12,chinese:SSB0016,3,single,27012,,0.7250258327,0.7698151600,-7.2233958044,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,native decoder bit marginal
audioseal,8,12,chinese:SSB0016,3,targeted,26928,1,0.5881242156,0.7368732672,-5.9958846105,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,native decoder bit marginal
audioseal,8,12,chinese:SSB0016,3,targeted,26916,2,0.5148925781,0.7217375636,-5.2554527866,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,native decoder bit marginal
audioseal,8,12,chinese:SSB0016,3,targeted,16672,5,0.5567609370,0.7353231199,-5.6396478036,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,native decoder bit marginal
audioseal,8,12,chinese:SSB0016,3,targeted,24888,9,0.5087088943,0.7130958214,-5.2217008627,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_01.wav,native decoder bit marginal
audioseal,8,13,chinese:SSB0016,3,average,22688,,0.5213313997,0.7176290173,-4.6380321194,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,native decoder bit marginal
audioseal,8,13,chinese:SSB0016,3,single,20619,,0.7139798105,0.7775643878,-7.0894223552,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,native decoder bit marginal
audioseal,8,13,chinese:SSB0016,3,targeted,21473,2,0.5193486214,0.7219252251,-5.1696586383,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,native decoder bit marginal
audioseal,8,13,chinese:SSB0016,3,targeted,4235,4,0.5252224505,0.7147978544,-5.3031582202,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,native decoder bit marginal
audioseal,8,13,chinese:SSB0016,3,targeted,4267,5,0.5809798837,0.7142583039,-5.5664017387,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_02.wav,native decoder bit marginal
audioseal,8,14,chinese:SSB0016,3,average,4342,,0.5068914890,0.7070923802,-5.3252887494,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,native decoder bit marginal
audioseal,8,14,chinese:SSB0016,3,single,8664,,0.7289192080,0.7644662932,-7.4374955752,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,native decoder bit marginal
audioseal,8,14,chinese:SSB0016,3,targeted,7064,1,0.6513018012,0.7487923168,-6.3051892608,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,native decoder bit marginal
audioseal,8,14,chinese:SSB0016,3,targeted,2840,2,0.5176482499,0.7234189156,-4.9926763302,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,native decoder bit marginal
audioseal,8,14,chinese:SSB0016,3,targeted,39832,6,0.5542508364,0.7245211415,-5.1783454863,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,native decoder bit marginal
audioseal,8,14,chinese:SSB0016,3,targeted,2968,7,0.5050300658,0.7188404482,-5.3071048893,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0016/chinese_SSB0016_03.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,average,23654,,0.5586389303,0.6771224141,-5.1604303932,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,single,53720,,0.7471311688,0.7807711232,-7.2802367018,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,targeted,57061,1,0.6268472672,0.7631339822,-6.2219126591,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,targeted,39544,3,0.6081894040,0.7145792376,-5.9089608275,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,targeted,56037,4,0.6371041238,0.7481997181,-6.0653687146,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,targeted,40677,6,0.5268316865,0.7355421744,-5.0389182242,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,15,chinese:SSB0018,2,targeted,39528,9,0.5836565495,0.7365011722,-5.9268873691,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_01.wav,native decoder bit marginal
audioseal,8,16,chinese:SSB0018,2,average,63966,,0.5752699077,0.7013957333,-5.5723682670,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,native decoder bit marginal
audioseal,8,16,chinese:SSB0018,2,single,59653,,0.7061069906,0.7756415270,-7.0035456978,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,native decoder bit marginal
audioseal,8,16,chinese:SSB0018,2,targeted,64987,1,0.5172227025,0.7473292816,-5.2863776276,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,native decoder bit marginal
audioseal,8,16,chinese:SSB0018,2,targeted,64843,3,0.6094522476,0.7507621329,-6.1891867768,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,native decoder bit marginal
audioseal,8,16,chinese:SSB0018,2,targeted,64859,8,0.5393792987,0.7392334770,-5.2557324420,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_02.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,average,55298,,0.5021182299,0.6787925493,-5.0474513480,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,single,25640,,0.7227490544,0.7754429989,-6.7580843474,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,targeted,47546,1,0.6785808802,0.7488859240,-6.8041175203,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,targeted,47538,2,0.6850179434,0.7497393023,-6.7919859444,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,targeted,43194,3,0.5854946673,0.7289398704,-5.7037654770,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,targeted,43192,5,0.6210489273,0.7301543597,-6.2045338550,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,targeted,47290,7,0.5886546075,0.7267900519,-5.9445153646,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,17,chinese:SSB0018,2,targeted,43256,8,0.5064188242,0.7059889026,-5.2711696032,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0018/chinese_SSB0018_03.wav,native decoder bit marginal
audioseal,8,18,chinese:SSB0033,2,average,25485,,0.5073091388,0.6905454528,-4.7000933305,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,native decoder bit marginal
audioseal,8,18,chinese:SSB0033,2,single,36240,,0.7418002486,0.7714787405,-7.7331651972,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,native decoder bit marginal
audioseal,8,18,chinese:SSB0033,2,targeted,40913,1,0.5346708894,0.7220655177,-4.9893337241,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,native decoder bit marginal
audioseal,8,18,chinese:SSB0033,2,targeted,7893,7,0.5777142644,0.7281604595,-5.7097603686,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,native decoder bit marginal
audioseal,8,18,chinese:SSB0033,2,targeted,7569,9,0.5666276217,0.7233273592,-5.7004563070,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_01.wav,native decoder bit marginal
audioseal,8,19,chinese:SSB0033,2,average,63024,,0.5203871131,0.6965223011,-5.3196286775,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,native decoder bit marginal
audioseal,8,19,chinese:SSB0033,2,single,11410,,0.7228820622,0.7642966677,-7.4742217197,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,native decoder bit marginal
audioseal,8,19,chinese:SSB0033,2,targeted,60594,3,0.5675311089,0.7317715641,-5.4665374492,/private/users/lym/neural-audio-watermark-collusion-attack/dataset/collusion_300/chinese/SSB0033/chinese_SSB0033_02.wav,native decoder bit marginal
